Animal_1,Animal_2,Coeficiente
3930438_3954178,3929478_3949836,0.0
3930438_3939991,3929478_3949837,0.0
3930042_3954184,3929478_3949838,0.0
3930438_3953816,3929478_3952868,0.0
3925318_3932988,3929478_3953816,0.0
3925318_3954188,3929478_3953817,0.0
3930042_3934115,3929478_3953819,0.0
3930438_3953816,3929478_3953820,0.0
3926571_3933846,3929478_3953825,0.0
3930042_3949837,3929478_3953828,0.0
3925318_3954182,3929478_3953829,0.0
3926571_3937433,3929478_3954178,0.0
3926571_3933846,3929478_3954180,0.0
3926571_3929377,3929478_3954182,0.0
3930438_3934119,3929478_3954184,0.0
3930438_3946947,3929478_3954186,0.0
3930042_3949836,3929478_3954188,0.0
3930042_3946929,3929478_3954190,0.0
3930042_3939043,3929478_3954192,0.0
3930438_3937433,3929478_3954194,0.0
3930042_3937436,3930042_3926180,0.0
3926571_3953829,3930042_3927975,0.0
3930042_3953829,3930042_3929376,0.0
3930438_3937437,3930042_3929377,0.0
3925318_3939995,3930042_3932988,0.0
3930438_3946930,3930042_3933487,0.0
3930438_3937429,3930042_3933846,0.0
3926571_3954184,3930042_3934115,0.0
3929478_3934119,3930042_3934118,0.0
3926571_3946947,3930042_3934119,0.0
3929478_3932988,3930042_3937429,0.0
3930042_3946941,3930042_3937431,0.0
3925318_3949834,3930042_3937433,0.0
3930438_3929376,3930042_3937435,0.0
3930042_3937437,3930042_3937436,0.0
3925318_3934115,3930042_3937437,0.0
3930042_3937438,3930042_3937438,0.0
3926571_3954194,3930042_3939043,0.0
3930042_3953828,3930042_3939991,0.0
3930438_3946938,3930042_3939992,0.0
3925318_3954194,3930042_3939993,0.0
3925318_3949835,3930042_3939994,0.0
3929478_3946941,3930042_3939995,0.0
3926571_3933487,3930042_3946929,0.0
3926571_3946955,3930042_3946930,0.0
3929478_3946948,3930042_3946932,0.0
3930438_3946948,3930042_3946937,0.0
3929478_3954194,3930042_3946938,0.0
3926571_3939993,3930042_3946939,0.0
3929478_3939043,3930042_3946941,0.0
3929478_3934115,3930042_3946943,0.0
3926571_3939043,3930042_3946947,0.0
3925318_3949838,3930042_3946948,0.0
3930438_3953820,3930042_3946949,0.0
3926571_3954178,3930042_3946950,0.0
3925318_3932988,3930042_3946955,0.0
3930438_3937429,3930042_3946956,0.0
3929478_3937433,3930042_3947942,0.0
3930042_3954178,3930042_3949834,0.0
3929478_3946943,3930042_3949835,0.0
3930042_3954180,3930042_3949836,0.0
3925318_3953828,3930042_3949837,0.0
3926571_3954180,3930042_3949838,0.0
3929478_3953816,3930042_3952868,0.0
3926571_3954188,3930042_3953816,0.0
3930438_3933846,3930042_3953817,0.0
3925318_3953829,3930042_3953819,0.0
3925318_3946955,3930042_3953820,0.0
3930438_3953828,3930042_3953825,0.0
3929478_3949837,3930042_3953828,0.0
3926571_3953816,3930042_3953829,0.0
3926571_3954184,3930042_3954178,0.0
3925318_3946956,3930042_3954180,0.0
3930438_3946932,3930042_3954182,0.0
3930438_3927975,3930042_3954184,0.0
3925318_3926180,3930042_3954186,0.0
3930438_3953825,3930042_3954188,0.0
3929478_3954182,3930042_3954190,0.0
3925318_3946932,3930042_3954192,0.0
3930438_3949835,3930042_3954194,0.0
3929478_3934115,3930438_3926180,0.0
3930042_3954180,3930438_3927975,0.0
3930042_3926180,3930438_3929376,0.0
3925318_3953820,3930438_3929377,0.0
3929478_3927975,3930438_3932988,0.0
3930042_3934115,3930438_3933487,0.0
3925318_3949836,3930438_3933846,0.0
3926571_3946948,3930438_3934115,0.0
3930438_3946938,3930438_3934118,0.0
3926571_3939993,3930438_3934119,0.0
3929478_3939043,3930438_3937429,0.0
3926571_3937436,3930438_3937431,0.0
3930042_3927975,3930438_3937433,0.0
3925318_3953819,3930438_3937435,0.0
3929478_3949837,3930438_3937436,0.0
3926571_3949836,3930438_3937437,0.0
3926571_3937429,3930438_3937438,0.0
3926571_3939994,3930438_3939043,0.0
3929478_3939995,3930438_3939991,0.0
3929478_3937433,3930438_3939992,0.0
3926571_3953828,3930438_3939993,0.0
3926571_3937435,3930438_3939994,0.0
3930042_3929377,3930438_3939995,0.0
3926571_3949835,3930438_3946929,0.0
3925318_3946929,3930438_3946930,0.0
3930438_3946947,3930438_3946932,0.0
3926571_3939991,3930438_3946937,0.0
3925318_3933487,3930438_3946938,0.0
3930042_3946930,3930438_3946939,0.0
3929478_3949834,3930438_3946941,0.0
3929478_3949836,3930438_3946943,0.0
3925318_3939043,3930438_3946947,0.0
3929478_3946941,3930438_3946948,0.0
3926571_3946956,3930438_3946949,0.0
3929478_3954190,3930438_3946950,0.0
3930042_3929377,3930438_3946955,0.0
3929478_3927975,3930438_3946956,0.0
3930438_3954178,3930438_3947942,0.0
3930042_3932988,3930438_3949834,0.0
3925318_3934115,3930438_3949835,0.0
3930042_3954182,3930438_3949836,0.0
3929478_3953819,3930438_3949837,0.0
3930042_3949836,3930438_3949838,0.0
3930042_3949838,3930438_3952868,0.0
3930438_3954180,3930438_3953816,0.0
3930042_3933487,3930438_3953817,0.0
3930042_3946943,3930438_3953819,0.0
3929478_3937437,3930438_3953820,0.0
3926571_3953820,3930438_3953825,0.0
3930042_3949835,3930438_3953828,0.0
3930438_3954192,3930438_3953829,0.0
3930042_3946949,3930438_3954178,0.0
3926571_3954188,3930438_3954180,0.0
3925318_3954190,3930438_3954182,0.0
3929478_3954186,3930438_3954184,0.0
3929478_3939994,3930438_3954186,0.0
3925318_3937438,3930438_3954188,0.0
3930042_3937438,3930438_3954190,0.0
3925318_3939991,3930438_3954192,0.0
3926571_3954182,3930438_3954194,0.0
